ID,Nombre Pelicula/Serie,Duración,Género,Calificación,Fecha Estreno,Nombre Episodio,Temporada,Num Episodio,ID Episodio
tt1480055,Game Of Thrones,57,"Action, Adventure, Drama, Fantasy, Romance",9,04/17/2011,Winter Is Coming,1,1,tt1668899
tt0107290,Jurassic Park,127,"Action, Adventure, Sci-Fi, Thriller",8.1,11/6/1993,,,,
tt0944947,Game Of Thrones,57,"Action, Adventure, Drama, Fantasy, Romance",8.8,4/2/2011,The Kingsroad,1,2,tt1668746
tt0944947,Game Of Thrones,57,"Action, Adventure, Drama, Fantasy, Romance",8.7,5/1/2011,Lord Snow,1,3,tt1829962
tt0944947,Game Of Thrones,57,"Action, Adventure, Drama, Fantasy, Romance",8.8,5/8/2011,"Cripples, Bastards, And Broken Things",1,4,tt1829963
tt0944947,Game Of Thrones,57,"Action, Adventure, Drama, Fantasy, Romance",9.1,5/12/2011,The Wolf And The Lion,1,5,tt1829964
tt0944947,Game Of Thrones,57,"Action, Adventure, Drama, Fantasy, Romance",9.2,5/22/2011,A Golden Crown,1,6,tt1837862
tt0944947,Game Of Thrones,57,"Action, Adventure, Drama, Fantasy, Romance",9.2,5/29/2011,You Win Or You Die,1,7,tt1837863
tt0944947,Game Of Thrones,57,"Action, Adventure, Drama, Fantasy, Romance",9,5/6/2011,The Pointy End,1,2,tt1837864
tt0944947,Game Of Thrones,57,"Action, Adventure, Drama, Fantasy, Romance",9.6,12/6/2011,Baelor,1,9,tt1851398
tt0796366,Star Trek,127,"Action, Adventure, Sci-Fi",7.9,8/5/2009,,,,
tt0120762,Mulan,88,"Animation, Adventure, Family, Fantasy, Musical, War",7.6,6/19/1998,,,,
tt0120131,The Lion King 2: Simba Pride,81,"Animation, Adventure, Drama, Family, Musical, Romance",6.5,10/27/1998,,,,
tt0078346,Superman,143,"Action, Adventure, Drama, Sci-Fi",7.3,12/15/1978,,,,
tt0096895,Batman,126,"Action, Adventure",7.5,6/23/1989,,,,
tt0848228,The Avengers,143,"Action, Adventure, Sci-Fi",8,4/5/2012,,,,
tt0415778,End Game,93,"Action, Crime, Drama, Mystery, Thriller",5.1,7/21/2006,,,,
tt0108778,Friends,22,"Comedy, Romance",8.4,9/22/1994,The One Where Monica Gets A Roommate,1,1,tt0583459
tt0108778,Friends,22,"Comedy, Romance",8.1,9/29/1994,The One With The Sonogram At The End,1,2,tt0583647
tt0108778,Friends,22,"Comedy, Romance",8.2,6/10/1994,The One With The Thumb,1,3,tt0583653
tt1853728,Django Unchained,165,"Drama, Western",8.4,12/25/2012,,,,
tt1442437,Modern Family,22,"Comedy, Drama, Romance",8.4,9/23/2009,Pilot,1,1,tt1444504
tt1638002,Love Rosie ,102,"Comedia, Romance",7.2,10/22/2014,,,,
tt0088763,Back To The Future,116,"Adventure, Comedy, Sci-Fi",8.5,3/7/1985,,,,
 tt1485796,The Greatest Showman,105,"Biografía, Drama, Musical",7.6,12/20/2017,,,,
tt4116284,The Lego Batman Movie,104,"Animation, Action, Comedy, Family",7.3,10/2/2017,,,,
tt1442437,Modern Family,22,"Comedy, Drama, Romance",8.2,9/23/2009,The Bicycle Thief,1,2,tt1492032
tt1442437,Modern Family,22,"Comedy, Drama, Romance",8,7/10/2009,Come Fly With Me,1,3,tt1520618
tt2935510,Ad Astra,123,"Adventure, Drama, Mystery, Sci-Fi, Thriller",6.6,9/20/2019,,,,
tt8579674,1917,119,"Drama, War",8.3,10/1/2020,,,,
tt2584384,Jojo Rabbit,108,"Comedy, Drama",7.9,8/11/2019,,,,
tt0903624,The Hobbit: An Unexpected Journey,169,"Adventure, Family, Fantasy",7.8,12/14/2012,,,,
tt2661044,The 100,43,"Drama, Mystery, Sci-Fi",7.5,3/19/2014,Pilot,1,1,tt2912494
tt2661044,The 100,43,"Drama, Mystery, Sci-Fi",7.5,3/26/2014,Earth Skills,1,2,tt3143980
tt2661044,The 100,43,"Drama, Mystery, Sci-Fi",7.9,2/4/2014,Earth Skills,1,3,tt3143986
tt0096697,The Simpsons,22,"Animation, Comedy",7.7,1/14/1990,Bart The Genius,1,1,tt0756593
tt0096697,The Simpsons,22,"Animation, Comedy",7.7,1/28/1990,There No Disgrace Like Home,1,3,tt0756399
tt0096697,The Simpsons,22,"Animation, Comedy",7.4,1/21/1990,Homer Odyssey,1,2,tt0701124
A01379812,The Sponge Bob Square Pants Movie,87,"Animation, Adventure, Comedy, Family, Fantasy",6.6,11/19/2004,,,,
tt1748122,Moonrise Kingdom,94,"Comedy, Drama, Romance",7.8,6/29/2012,,,,
tt0416449,300,117,"Accion, Drama ",7.6,9/3/2006,,,,
tt0898266,The Big Bang Theory,19.24,"Comedia, Romance ",7.3,2/2/2017,The Emotion Detection Automation,10,14,tt6414316
tt0266697,Kill Bill: Volume 1,111,"Action, Crime, Thriller",8.1,10/10/2003,,,,
tt0106062,Matrix,60,"Action, Drama, Fantasy, Thriller",7.9,1/3/1993,,,,
tt1790864,The Maze Runner,113,Thriller,6.8,9/9/2014,,,,
tt3014284,The Lego Ninjago Movie,101,"Animation, Action, Adventure, Comedy, Family",6,9/22/2017,,,,
tt0126029,Shrek,90,"Animation, Adventure, Comedy, Family, Fantasy",7.8,5/18/2001,,,,
tt0298148,Shrek 2,93,"Animation, Adventure, Comedy, Family, Fantasy, Romance",7.2,5/19/2004,,,,
tt8236556,Memories Of The Alhambra,60,"Drama, Romance, Sci-Fi, Thriller",8.7,1/12/2018,Episode 1,1,1,tt9367716
tt5071412,Ozark,60,"Crime, Drama, Thriller",8.4,7/21/2017,,,,
tt0877057,Death Note,24,"Animation, Crime, Drama, Fantasy, Mystery, Thriller",9,10/21/2007,Confrontation,1,2,tt0900488
tt0900488,The Prestige,130,"Drama, Mystery, Sci-Fi, Thriller",8.5,10/20/2006,,,,
tt0110912,Pulp Fiction,154,"Crime, Drama",8.9,10/14/1994,,,,
tt2051178,Fate Zero,24,"Animation, Action, Drama, Fantasy, Thriller",8.3,1/10/2011,Masp No Yaiba,1,4,tt2159235
tt3339966,Unbreakable Kimmy Schmidt,30,"Comedy, Drama",7.6,6/3/2015,Kimmy Roommate Lemonades!,3,2,tt6257244
tt2085059,Black Mirror,60,"Drama, Sci-Fi, Thriller",8.8,4/12/2011,White Bear,2,2,tt2542420
tt7569592,Chilling Adventures of Sabrina,60,"Drama, Fantasy, Horror, Mystery, Thriller",7.6,10/26/2018,Chapter Eighteen: The Miracles Of Sabrina Spellman,2,7,tt7697970
tt1855325,Resident Evil: Retribution,95,"Action, Adventure, Fantasy, Horror, Sci-Fi, Thriller",5.4,9/14/2012,,,,
tt0898266,The Big Bang Theory,22,"Comedy, Romance",8.1,1/5/2006,The Lizard-Spock Expansion,2,8,tt1256039
tt0468569,The Dark Knight,152,"Action, Crime, Drama, Thriller",9,7/18/2008,,,,
tt4574334,Stranger Things,51,"Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",8.8,7/15/2016,Chapter Six: The Monster,1,6,tt4593132
tt5580146,Maniac,10,"Comedy, Drama, Sci-Fi",7.8,9/21/2018,The Lake Of The Clouds,1,8,tt7741834
tt0448157,Hancock,92,"Action, Fantasy",6.4,2/7/2008,,,,
tt1663662,Pacific Rim,131,"Action, Adventure, Sci-Fi",6.9,12/7/2013,,,,
tt0810819,The Danish Girl,119,"Biography, Drama, Romance",7.1,1/22/2016,,,,
tt4633694,Spider-Man: Into The Spider-Verse,117,"Animation, Action, Adventure, Family, Sci-Fi",8.4,12/14/2018,,,,
